Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0.5,0.280334,0.1552925,0.3026269,0.1363037,0.2421222,0.297371,0.1349933,0.1319718,0.1927916,0.2407773,0.5952372,0.2152758,0.2366578,0.2870148,0.1352714,0.3982083,0.2315437,0.2348361,0.2768263,0.09764872,0.5686574,0.4435489,0.1988235,0.04987365,0.2215892,0.04972459,0.1840617,0.08829487,0.2713256,0.4630867,0.1484433,0.5541613,0.11508,0.3237172,0.4254211,0.3196694,0.3288004,0.2760296,0.3827029,0.1272685,0.2325023,0.163602,0.148599,0.2772872,0.06513879,0.4303771,0.2458873,0.3726743,0.1517841,0.357754,0.3261919,0.1614589,0.06872667,0.2784033,0.05354378,0.0993711,0.1451048,0.3675916,0.2038776,0.5154571,0.2086715,0.4706977,0.2286364,0.05021923,0.5038302,0.3827272,0.1240341,0.1059874,0.06654543,0.4726091,0.06073971,0.1506926,0.1449926,0.09151612,0.08340304,0.2169704,0.1148596,0.435908,0.3857267,0.3778368,0.244364,0.4686332,0.2571782,0.323833,0.2832752,0.2295686,0.1397569,0.1815166,0.09789958,0.2990119,0.3488488,0.2312103,0.6803419,0.1186916,0.308102,0.4287509,0.09658331,0.2029325,0.3399344,0.2363064
1,0.7998744,0.6766016,0.8748991,0.6274716,0.7991004,0.8695502,0.6191345,0.565375,0.7813168,0.7810101,1.146103,0.8237346,0.8166643,0.9269514,0.4723456,0.8731508,0.690215,0.8178761,0.8590383,0.5250384,1.033566,0.8927588,0.8749486,0.3661636,0.7625842,0.302736,0.7293208,0.3408196,0.855924,0.8522732,0.6836522,0.9931154,0.4290209,0.8600768,0.8807202,0.9464973,0.8313095,0.8862657,1.007491,0.6083485,0.7726353,0.7314677,0.5752975,0.7390964,0.3796084,1.066387,0.8639621,0.9593954,0.577622,0.8846397,0.9578654,0.6038497,0.398396,0.7852206,0.3019597,0.5211365,0.6712019,0.8356972,0.5927536,0.8792288,0.670258,0.8156162,0.6533045,0.2076831,0.882961,0.9617937,0.5262849,0.5178465,0.3784712,0.9215847,0.3574766,0.5538013,0.5688738,0.4034706,0.4880857,0.8285494,0.5720876,0.9925457,0.9353296,0.8014688,0.7344734,1.018573,0.8049691,0.8079407,0.8905143,0.6745505,0.6327481,0.6670781,0.4742583,0.9538444,0.8814973,0.7148063,0.9162396,0.5670455,0.8478297,1.084366,0.4104739,0.7310132,0.8854603,0.6216062
1.5,0.8967983,0.9199606,1.043979,0.9206914,1.008311,1.002113,0.8353113,0.7401937,1.02511,0.9585143,1.207015,1.06441,0.9505689,1.135671,0.6289869,0.8931951,0.9249102,0.9805551,0.992119,0.8668534,1.081473,0.9312455,1.21024,0.6848298,0.96109,0.5938658,1.013972,0.462639,1.022592,0.8892179,0.9402196,1.073972,0.5972356,0.9727702,0.8958759,1.140269,0.9551143,1.042536,1.098571,0.918893,0.9724442,1.042307,0.8413701,0.9708292,0.6342714,1.12244,0.9698237,1.059026,0.7904138,0.9503223,0.933889,0.7717779,0.6173344,0.9169468,0.5588073,0.8271372,0.9721587,0.8542032,0.6823617,0.8835999,0.8601838,0.7338492,0.7977394,0.2928644,0.8851116,1.008171,0.7073844,0.8411666,0.6436499,0.9337143,0.6299683,0.6918557,0.7097159,0.5814689,0.7903345,0.91413,0.7877877,1.000897,1.055966,0.7771705,0.8516748,1.116798,0.9590471,0.93471,0.9559997,0.9050074,0.8496765,0.7632977,0.7579883,1.132689,0.904099,0.8275053,0.8579578,0.7556852,1.007003,1.155486,0.6459994,0.9017662,0.9582372,0.6422209
2,0.8667983,0.9706455,1.047656,1.000669,1.060891,0.9811054,0.8457405,0.7368267,1.060013,0.9758906,1.160082,1.099298,0.9076462,1.16508,0.6418548,0.8327765,0.9973263,0.9747716,0.973509,1.006592,1.033377,0.8838256,1.236586,0.8319917,0.9683732,0.7901331,1.078129,0.4775967,1.034779,0.8534682,0.9580574,1.047393,0.6430246,0.9232248,0.8342783,1.165122,0.9578837,1.023859,1.036919,1.02257,0.9948105,1.125912,0.9268554,1.04796,0.7172007,1.063999,0.8818886,1.006113,0.8119017,0.9062229,0.7889682,0.766726,0.6516037,0.8819238,0.6965467,0.9221199,1.031896,0.7707751,0.6495748,0.809195,0.8683695,0.6080778,0.7768701,0.2984681,0.8179452,0.9238182,0.7090705,0.9857677,0.7349881,0.8584657,0.7416303,0.6554233,0.6848996,0.602962,0.8899138,0.8018638,0.7489896,0.8965955,1.041733,0.6785487,0.7928309,1.091006,0.9520881,0.9071894,0.8613296,0.9679618,0.8418497,0.6843823,0.8590581,1.132984,0.800772,0.7648228,0.7670834,0.7218438,1.01236,1.091781,0.7516518,0.8753089,0.9030717,0.5695227
3,0.7177206,0.9020627,0.9224639,0.9347472,1.010139,0.8235168,0.712257,0.6019651,0.9540509,0.8780679,0.9788321,0.9837728,0.7188223,1.071814,0.5400373,0.6854648,0.9323515,0.8411176,0.8251737,0.9936669,0.852605,0.7320291,1.024668,0.8271179,0.8385127,0.8999457,0.9738019,0.4154709,0.9341341,0.7273019,0.7860371,0.9037643,0.5941792,0.7273411,0.6678177,1.062004,0.8624209,0.8580053,0.8245141,0.9933428,0.89259,1.065031,0.8596155,0.9938406,0.6512488,0.8770553,0.649533,0.8133279,0.6681769,0.7537728,0.5439368,0.6269622,0.5206941,0.6971118,0.698957,0.8483317,0.9133818,0.5753728,0.526213,0.621311,0.7118867,0.4002963,0.5948108,0.2469816,0.6585545,0.7103589,0.5792423,1.004545,0.6615018,0.6673994,0.6966274,0.4757136,0.5337939,0.4734244,0.817628,0.5618046,0.5269402,0.6622726,0.8982393,0.4868453,0.5817077,0.9426017,0.8235044,0.7458522,0.6383007,0.8687214,0.6671475,0.479279,0.8090603,0.994727,0.5786329,0.5687867,0.5839181,0.5334969,0.8932254,0.894165,0.7503888,0.7057582,0.7289068,0.4210099
4,0.5736884,0.7814932,0.7731202,0.8035858,0.8983024,0.6575505,0.5668945,0.4725156,0.8050649,0.7471899,0.7969179,0.8214966,0.5540321,0.9304662,0.4353878,0.5685401,0.7931588,0.702955,0.6683778,0.8716,0.6872353,0.5980211,0.7877787,0.7118348,0.6920674,0.8256995,0.8067462,0.3579356,0.8008484,0.6028742,0.6005512,0.762778,0.5178423,0.5653176,0.5239922,0.9134979,0.7500915,0.6854272,0.6321721,0.8794014,0.7679553,0.9301351,0.7189813,0.8589088,0.5271988,0.696752,0.4737231,0.6377124,0.5108715,0.6079639,0.3856237,0.4917087,0.3791238,0.5295709,0.5831558,0.7076904,0.7443811,0.4366464,0.4305055,0.4799545,0.5418624,0.2873047,0.4241786,0.2079619,0.5270393,0.5395098,0.4507902,0.9056485,0.5236696,0.5101618,0.5690976,0.3388945,0.4057708,0.3479148,0.6678656,0.3990116,0.3592639,0.4913476,0.7416946,0.3614576,0.4145943,0.7837029,0.6788442,0.5993094,0.4715277,0.701588,0.5023363,0.3372582,0.6823143,0.8325229,0.4236372,0.4205031,0.4427173,0.3842773,0.7562512,0.7151851,0.6590548,0.5465951,0.5812904,0.3326102
6,0.40847,0.5852723,0.559713,0.6033223,0.7020904,0.4350762,0.3833926,0.350706,0.5766466,0.5470164,0.5564607,0.5804052,0.3847493,0.7062521,0.3272222,0.442352,0.5713608,0.5524808,0.4709407,0.6456831,0.5103185,0.457969,0.4932336,0.5133079,0.5016125,0.6098264,0.5529479,0.3103837,0.6042818,0.4383009,0.3937103,0.5941088,0.4326981,0.4088792,0.3673467,0.6806703,0.6056312,0.4738719,0.4036014,0.6666671,0.596678,0.7031748,0.5201421,0.6351883,0.3641848,0.4650411,0.2977579,0.4250272,0.3390616,0.4184622,0.2378537,0.3493646,0.234487,0.3443981,0.3991965,0.5045464,0.5016046,0.3316084,0.3597568,0.3548419,0.3380734,0.2256536,0.2454576,0.1816131,0.3749046,0.3465692,0.3190982,0.7000464,0.3466583,0.346099,0.3828282,0.2286145,0.2936218,0.2430638,0.4424232,0.2418357,0.2155682,0.3404045,0.5360613,0.2612496,0.2475051,0.5586159,0.4796602,0.4359171,0.2943397,0.4671218,0.3131976,0.2225458,0.490572,0.6184202,0.2871035,0.2828867,0.2892901,0.2364426,0.5858484,0.4920326,0.5037597,0.3540747,0.4284851,0.2799449
8,0.3559535,0.4799574,0.453409,0.5150417,0.5923226,0.3291223,0.3113435,0.3253184,0.4548613,0.4401313,0.4435488,0.4590136,0.338139,0.5847402,0.2998679,0.3933899,0.4573799,0.5159457,0.3866673,0.5138702,0.4322154,0.4121296,0.3701798,0.4173577,0.4191133,0.4854206,0.4219825,0.3100601,0.5056857,0.3601529,0.3283571,0.513166,0.4090491,0.3682392,0.3122761,0.5547391,0.539647,0.3870394,0.3089052,0.5366709,0.5117705,0.5780604,0.4360468,0.5166195,0.2997581,0.3614576,0.2388399,0.3337514,0.281441,0.3310707,0.1890159,0.3038628,0.1905208,0.2737361,0.3203219,0.4110167,0.3837915,0.3176266,0.3580115,0.3059529,0.255153,0.2200253,0.1847507,0.1841621,0.3118693,0.2656059,0.2818995,0.5749133,0.2801203,0.2868617,0.3052275,0.2042959,0.2674319,0.2240347,0.3294102,0.1868873,0.1810567,0.3006408,0.4350314,0.2422853,0.1889431,0.4423186,0.3848364,0.3715273,0.2242705,0.3589887,0.2371308,0.2000068,0.4041226,0.5367848,0.2552254,0.246744,0.2301056,0.1876126,0.511763,0.390305,0.4343814,0.2731338,0.3862552,0.2786788
12,0.3242144,0.3895227,0.3730848,0.4579429,0.5043775,0.2512308,0.2709752,0.3193665,0.3586545,0.3531358,0.355583,0.364685,0.2918356,0.4793606,0.272513,0.3569193,0.3706988,0.4843102,0.3105336,0.4072294,0.3334727,0.3658718,0.2901767,0.3585657,0.3643504,0.4052928,0.3231011,0.3373421,0.4267273,0.3033641,0.2726188,0.4265593,0.4237404,0.2921565,0.2650223,0.4474515,0.4580236,0.3103468,0.2448514,0.4259191,0.444757,0.4803002,0.3777626,0.421693,0.2724726,0.2842477,0.1989693,0.2707044,0.2355035,0.2693076,0.1583599,0.2584899,0.1743237,0.2214914,0.2727774,0.3485079,0.3013206,0.3104588,0.3646964,0.2353131,0.2021811,0.2199964,0.148287,0.2087868,0.2670861,0.2112685,0.2748471,0.4620112,0.2507963,0.2360589,0.2618166,0.2043946,0.2679795,0.2310792,0.2473094,0.1550375,0.1704041,0.2610126,0.3385852,0.2118046,0.1528804,0.3515677,0.3129812,0.3249201,0.1788476,0.273591,0.1890047,0.1935514,0.3416826,0.4843492,0.2242184,0.2171814,0.1911834,0.1594088,0.4272845,0.318186,0.3749074,0.2204173,0.3492497,0.2944827
24,0.2432086,0.2961706,0.3125043,0.3606168,0.426146,0.1988444,0.2242884,0.2296565,0.2840441,0.2778371,0.2846397,0.2846935,0.2113528,0.3823216,0.2302786,0.3262255,0.3066947,0.3707985,0.236239,0.3310755,0.2566235,0.3084685,0.2307107,0.292265,0.3186199,0.3414407,0.2538877,0.3845956,0.3488498,0.2625602,0.2046336,0.3447086,0.347984,0.2066761,0.2068772,0.3523334,0.3538952,0.2366473,0.1992076,0.3447728,0.3895146,0.4028661,0.3240594,0.3492234,0.2688238,0.221346,0.160624,0.2257682,0.1839844,0.2237526,0.1344745,0.1914188,0.1721649,0.1774118,0.237833,0.2975613,0.2449799,0.2231997,0.3015338,0.1818208,0.1709642,0.1449727,0.1265795,0.2471572,0.2314705,0.1799918,0.2362489,0.355191,0.225264,0.1908876,0.2075523,0.1506402,0.2273534,0.1809108,0.198037,0.1356141,0.1438937,0.2095139,0.2557609,0.1633938,0.1305602,0.2883638,0.2476409,0.2874128,0.1523401,0.21587,0.1578717,0.156719,0.2697119,0.3778515,0.1746944,0.1805557,0.1627568,0.1364054,0.330399,0.2710958,0.2940011,0.1840815,0.2773029,0.2735397
